"Timestamp","GENDER","AGE RANGE","FACULTY","LEVEL","How often do you exercise ","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise enhances my ability to concentrate and focus]","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise can be an effective way to manage symptoms of depression]","Knowledge and awareness on psychological benefits of exercise [Exercise is an effective way to boost self esteem and confidence]","Exercise Frequency  [I am proud of the amount of exercise I do]","Exercise Frequency  [I feel more confident and self assured when I engage in regular physical activity]","Exercise Frequency  [I believe that maintaining a consistent exercise frequency is essential for my psychological wellbeing]","Exercise duration [Engaging in exercise sessions lasting less than 10 minutes positively affects my psychological wellbeing]","Exercise duration [I feel more psychologically refreshed after exercising for 30 minutes or longer]","Exercise duration [The longer I exercise (over 60 minutes), the more beneficial it is for my overall psychological wellbeing]","Exercise Intensity  [I feel more relaxed after engaging in high-intensity exercise]","Exercise Intensity  [High intensity exercise contributes to better sleep quality for me]","Exercise Intensity  [I find that vigorous exercise boosts my overall sense of well-being]","Stress [Regular exercise helps me manage and reduce my stress levels]","Stress [Exercise helps to reduce the tension in me]","Stress [Exercise is an effective way for me to relax and unwind]","Stress [I personally feel that exercise is the best thing for me]","Mood [I experience an improved mood after engaging in exercise]","Mood [I feel happier and more relaxed after engaging in regular exercise]","Mood [I experience an increase in energy and motivation through regular exercise]"
"2023/09/27 10:46:56 am CET","Male","21-25","Management Science","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:47:20 am CET","Male","21-25","Management Science","400","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:47:45 am CET","Female","21-25","Management Science","100","Several times a week","More True","True","More True","True","More True","True","More True","True","True","More True","True","More True","True","More True","True","True","More True","True","True"
"2023/09/27 10:48:08 am CET","Male","26-30","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:50:48 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:51:14 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:51:54 am CET","Male","21-25","Management Science","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:52:23 am CET","Male","26-30","Management Science","300","Once or twice a month","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","More True","True","More True"
"2023/09/27 10:53:05 am CET","Male","21-25","Management Science","100","Once a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","True","True","More True","True","More True"
"2023/09/27 10:53:35 am CET","Male","21-25","Management Science","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:54:13 am CET","Male","21-25","Management Science","300","Once a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","More True","More True"
"2023/09/27 10:54:47 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:55:31 am CET","Female","26-30","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:57:38 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","True"
"2023/09/27 10:58:13 am CET","Male","21-25","Management Science","300","Once a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:58:37 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:01 am CET","Female","26-30","Management Science","100","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:25 am CET","Female","21-25","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:55 am CET","Male","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 11:00:24 am CET","Male","30 years and above","Management Science","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","True"
"2023/09/27 11:02:11 am CET","Male","21-25","Management Science","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
